"","SEQN","HOD011","HOD030","HOD040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOD140","HOD150","HOD160","HOD170","HOD180","HOD190","HOD210","HOD220","file_name","cycle","begin_year","end_year"
"1",21005,4,4,99,4,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"2",21006,2,NA,99,9,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"3",21007,2,NA,99,7,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"4",21008,2,NA,4,9,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"5",21009,2,NA,3,6,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"6",21010,2,NA,3,3,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"7",21011,2,NA,99,5,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"8",21012,2,NA,4,7,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"9",21013,4,5,1,6,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"10",21014,4,6,99,4,2,2,1,2,2,NA,2,NA,NA,2,NA,2,"HOQ_C","2003-2004",2003,2004
"11",21015,2,NA,4,6,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"12",21016,4,3,2,4,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"13",21017,4,6,99,3,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"14",21018,2,NA,99,5,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"15",21019,2,NA,6,10,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"16",21020,4,1,4,5,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"17",21021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"18",21022,4,1,99,3,2,2,1,2,2,NA,1,2,NA,2,NA,1,"HOQ_C","2003-2004",2003,2004
"19",21023,3,NA,99,5,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"20",21024,2,NA,5,7,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"21",21025,4,4,99,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"22",21026,2,NA,2,5,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"23",21027,2,NA,2,7,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"24",21028,4,5,1,6,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"25",21029,2,NA,3,10,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"26",21030,2,NA,4,7,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"27",21031,2,NA,1,9,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"28",21032,1,NA,1,8,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"29",21033,2,NA,4,5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"30",21034,1,NA,99,5,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"31",21035,2,NA,5,6,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"32",21036,2,NA,3,7,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"33",21037,4,7,2,2,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"34",21038,2,NA,4,9,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"35",21039,4,6,3,3,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"36",21040,2,NA,1,7,2,1,1,1,2,NA,2,NA,NA,2,NA,2,"HOQ_C","2003-2004",2003,2004
"37",21041,2,NA,4,4,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"38",21042,4,6,2,6,1,2,1,1,2,NA,1,2,NA,2,NA,2,"HOQ_C","2003-2004",2003,2004
"39",21043,2,NA,99,6,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"40",21044,4,3,3,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"41",21045,3,NA,5,8,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"42",21046,2,NA,3,5,2,1,1,1,2,NA,1,2,NA,2,NA,1,"HOQ_C","2003-2004",2003,2004
"43",21047,2,NA,3,9,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"44",21048,2,NA,3,6,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"45",21049,2,NA,99,4,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"46",21050,2,NA,1,5,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
"47",21051,2,NA,6,7,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"HOQ_C","2003-2004",2003,2004
