"","SEQN","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","file_name","cycle","begin_year","end_year"
"1",41475,2,4,2,1,2,2,"HOQ_E","2007-2008",2007,2008
"2",41476,1,9,3,1,1,1,"HOQ_E","2007-2008",2007,2008
"3",41477,3,6,5,1,1,2,"HOQ_E","2007-2008",2007,2008
"4",41478,3,5,3,2,1,1,"HOQ_E","2007-2008",2007,2008
"5",41479,3,5,4,1,1,2,"HOQ_E","2007-2008",2007,2008
"6",41480,99,3,4,2,1,2,"HOQ_E","2007-2008",2007,2008
"7",41481,3,6,3,2,1,2,"HOQ_E","2007-2008",2007,2008
"8",41482,1,8,3,1,1,2,"HOQ_E","2007-2008",2007,2008
"9",41483,4,6,3,1,1,2,"HOQ_E","2007-2008",2007,2008
"10",41484,1,4,4,1,1,2,"HOQ_E","2007-2008",2007,2008
"11",41485,6,7,4,1,9,2,"HOQ_E","2007-2008",2007,2008
"12",41486,3,8,5,1,1,2,"HOQ_E","2007-2008",2007,2008
"13",41487,99,4,2,2,1,2,"HOQ_E","2007-2008",2007,2008
"14",41488,99,4,2,2,1,2,"HOQ_E","2007-2008",2007,2008
"15",41489,1,5,5,1,1,2,"HOQ_E","2007-2008",2007,2008
"16",41490,3,6,5,1,1,2,"HOQ_E","2007-2008",2007,2008
"17",41491,4,7,5,1,2,2,"HOQ_E","2007-2008",2007,2008
"18",41492,6,4,5,1,1,1,"HOQ_E","2007-2008",2007,2008
"19",41493,2,5,5,1,2,2,"HOQ_E","2007-2008",2007,2008
"20",41494,99,5,4,2,2,2,"HOQ_E","2007-2008",2007,2008
"21",41495,1,6,3,1,1,1,"HOQ_E","2007-2008",2007,2008
"22",41496,99,4,2,2,1,2,"HOQ_E","2007-2008",2007,2008
"23",41497,5,5,2,2,1,2,"HOQ_E","2007-2008",2007,2008
"24",41498,99,7,5,1,1,1,"HOQ_E","2007-2008",2007,2008
"25",41499,1,5,5,1,1,1,"HOQ_E","2007-2008",2007,2008
"26",41500,6,5,4,1,1,2,"HOQ_E","2007-2008",2007,2008
"27",41501,2,7,5,1,2,2,"HOQ_E","2007-2008",2007,2008
"28",41502,3,6,2,2,1,2,"HOQ_E","2007-2008",2007,2008
"29",41503,NA,NA,NA,NA,NA,NA,"HOQ_E","2007-2008",2007,2008
"30",41504,4,8,5,1,1,2,"HOQ_E","2007-2008",2007,2008
"31",41505,2,5,1,2,1,2,"HOQ_E","2007-2008",2007,2008
"32",41506,1,7,4,1,1,2,"HOQ_E","2007-2008",2007,2008
"33",41507,1,6,2,1,1,2,"HOQ_E","2007-2008",2007,2008
"34",41508,1,5,1,2,1,2,"HOQ_E","2007-2008",2007,2008
"35",41509,1,7,3,1,1,2,"HOQ_E","2007-2008",2007,2008
"36",41510,5,5,3,2,1,2,"HOQ_E","2007-2008",2007,2008
"37",41511,2,5,4,1,1,9,"HOQ_E","2007-2008",2007,2008
"38",41512,4,4,2,2,1,2,"HOQ_E","2007-2008",2007,2008
"39",41513,1,6,4,1,1,2,"HOQ_E","2007-2008",2007,2008
"40",41514,3,4,5,1,1,2,"HOQ_E","2007-2008",2007,2008
"41",41515,1,4,3,2,1,2,"HOQ_E","2007-2008",2007,2008
"42",41516,2,6,3,1,2,2,"HOQ_E","2007-2008",2007,2008
"43",41517,1,5,2,1,1,1,"HOQ_E","2007-2008",2007,2008
"44",41518,1,8,5,1,1,1,"HOQ_E","2007-2008",2007,2008
