"","SEQN","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","file_name","cycle","begin_year","end_year"
"1",51624,1,6,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"2",51625,1,9,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"3",51626,1,5,2,1,1,2,"HOQ_F","2009-2010",2009,2010
"4",51627,99,6,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"5",51628,99,6,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"6",51629,6,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"7",51630,4,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"8",51631,99,5,1,2,9,2,"HOQ_F","2009-2010",2009,2010
"9",51632,2,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"10",51633,1,4,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"11",51634,1,5,4,1,1,1,"HOQ_F","2009-2010",2009,2010
"12",51635,4,5,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"13",51636,6,7,3,1,1,2,"HOQ_F","2009-2010",2009,2010
"14",51637,NA,NA,NA,NA,NA,NA,"HOQ_F","2009-2010",2009,2010
"15",51638,1,6,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"16",51639,99,6,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"17",51640,3,5,2,3,1,2,"HOQ_F","2009-2010",2009,2010
"18",51641,1,6,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"19",51642,99,4,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"20",51643,1,6,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"21",51644,6,9,5,1,3,1,"HOQ_F","2009-2010",2009,2010
"22",51645,2,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"23",51646,6,7,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"24",51647,6,6,4,1,2,2,"HOQ_F","2009-2010",2009,2010
"25",51648,6,4,2,3,1,2,"HOQ_F","2009-2010",2009,2010
"26",51649,99,7,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"27",51650,99,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"28",51651,4,7,4,2,1,1,"HOQ_F","2009-2010",2009,2010
"29",51652,99,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"30",51653,99,4,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"31",51654,3,5,5,1,1,1,"HOQ_F","2009-2010",2009,2010
"32",51655,3,5,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"33",51656,1,10,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"34",51657,4,6,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"35",51658,3,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"36",51659,1,10,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"37",51660,6,3,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"38",51661,99,6,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"39",51662,1,9,4,1,9,2,"HOQ_F","2009-2010",2009,2010
"40",51663,99,4,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"41",51664,3,9,5,1,1,2,"HOQ_F","2009-2010",2009,2010
"42",51665,1,5,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"43",51666,2,10,2,2,1,1,"HOQ_F","2009-2010",2009,2010
"44",51667,99,4,4,2,1,2,"HOQ_F","2009-2010",2009,2010
"45",51668,99,5,5,2,1,2,"HOQ_F","2009-2010",2009,2010
"46",51669,99,4,3,2,1,2,"HOQ_F","2009-2010",2009,2010
"47",51670,6,6,2,2,1,2,"HOQ_F","2009-2010",2009,2010
"48",51671,6,3,1,2,1,2,"HOQ_F","2009-2010",2009,2010
"49",51672,1,5,4,1,1,2,"HOQ_F","2009-2010",2009,2010
"50",51673,2,7,2,1,2,1,"HOQ_F","2009-2010",2009,2010
"51",51674,NA,NA,NA,NA,NA,NA,"HOQ_F","2009-2010",2009,2010
"52",51675,5,5,5,1,1,2,"HOQ_F","2009-2010",2009,2010
